词组,词性,同义词,扩展词
巧克力色,"	颜色",,
随机混色,"	颜色",,
天然彩棉色,"	颜色",,
玫红格子色,"	颜色",,
浅绿色,"	颜色",,
红灰格色,"	颜色",,
灰绿条色,"	颜色",,
粉红竖纹色,"	颜色",,
黑白图腾色,"	颜色",,
女装蓝色,"	颜色",,
红蓝撞色,"	颜色",,
青黄色,"	颜色",,
黑紫渐变色,"	颜色",,
军绿阑珊格色,"	颜色",,
浅蓝白条色,"	颜色",,
黑紫条色,"	颜色",,
绿白条色,"	颜色",,
苹果绿色,"	颜色",,
经典灰色,"	颜色",,
男款蓝色,"	颜色",,
红绿色,"	颜色",,
海蓝色,"	颜色",,
咸菜色,"	颜色",,
古铜色,"	颜色",,
米杏色,"	颜色",,
牛仔色,"	颜色",,
浅靛青色,"	颜色",,
新莓红色,"	颜色",,
黑紫色,"	颜色",,
耀眼绿色,"	颜色",,
热情莓紫色,"	颜色",,
普蓝竖纹色,"	颜色",,
太平阳蓝色,"	颜色",,
亮紫色,"	颜色",,
黑白灰色,"	颜色",,
秋香绿色,"	颜色",,
牙白色,"	颜色",,
淡花色,"	颜色",,
野灰鸽色,"	颜色",,
白黄条色,"	颜色",,
紫白条色,"	颜色",,
兰黑条色,"	颜色",,
玫丽红色,"	颜色",,
咖啡小豹点色,"	颜色",,
桔蓝色,"	颜色",,
褐色,"	颜色",,
灰啡色,"	颜色",,
莹绿色,"	颜色",,
魅惑红色,"	颜色",,
紫砂色,"	颜色",,
米白绿色,"	颜色",,
不锈钢色,"	颜色",,
肤色,"	颜色",,
墨绿色,"	颜色",,
深灰色,"	颜色",,
兰色,"	颜色",,
混色,"	颜色",,
墨兰色,"	颜色",,
浅灰色,"	颜色",,
彩色,"	颜色",,
苍白蓝色,"	颜色",,
经典黑色,"	颜色",,
经典白色,"	颜色",,
冬天蓝色,"	颜色",,
棕色,"	颜色",,
蓝黑色,"	颜色",,
蓝莓紫色,"	颜色",,
草绿色,"	颜色",,
玫红色,"	颜色",,
玛丽红色,"	颜色",,
明橙色,"	颜色",,
牛仔蓝色,"	颜色",,
红棕色,"	颜色",,
军绿色,"	颜色",,
深紫红色,"	颜色",,
西瓜红色,"	颜色",,
橙红色,"	颜色",,
火焰橙色,"	颜色",,
栗色,"	颜色",,
暗紫色,"	颜色",,
如图粉色,"	颜色",,
番茄红色,"	颜色",,
电蓝色,"	颜色",,
洋红色,"	颜色",,
桔色,"	颜色",,
酒红条纹色,"	颜色",,
浅杏色,"	颜色",,
砖红色,"	颜色",,
深咖啡色,"	颜色",,
明蓝色,"	颜色",,
蜜粉色,"	颜色",,
薄荷绿色,"	颜色",,
紫罗兰色,"	颜色",,
铁灰色,"	颜色",,
紫色色,"	颜色",,
幸福绿色,"	颜色",,
灰白色,"	颜色",,
果绿色,"	颜色",,
红花格子色,"	颜色",,
浅彩兰色,"	颜色",,
湖兰色,"	颜色",,
黑格色,"	颜色",,
白色印花色,"	颜色",,
灰调格子色,"	颜色",,
深绿色,"	颜色",,
金黑色,"	颜色",,
藕粉色,"	颜色",,
黄绿撞色,"	颜色",,
红黑渐变色,"	颜色",,
杏粉色,"	颜色",,
白底黑点色,"	颜色",,
黑灰条色,"	颜色",,
米灰色,"	颜色",,
藻绿色,"	颜色",,
图中款式灰色,"	颜色",,
深混色,"	颜色",,
铬黄色,"	颜色",,
灵蓝色,"	颜色",,
小款咖啡色,"	颜色",,
浅粉印灰色,"	颜色",,
青蓝色,"	颜色",,
丈青色,"	颜色",,
哈色,"	颜色",,
香蕉黄色,"	颜色",,
深靛青色,"	颜色",,
豆沙色,"	颜色",,
花棕咖色,"	颜色",,
浅白色,"	颜色",,
雾银色,"	颜色",,
灰细竖纹色,"	颜色",,
沙丘啡色,"	颜色",,
闪亮金色,"	颜色",,
贝壳粉底白条色,"	颜色",,
蓝纱格子色,"	颜色",,
灰色配紫色,"	颜色",,
白兰格色,"	颜色",,
黄兰条色,"	颜色",,
渐变色,"	颜色",,
热带色,"	颜色",,
杏驼色,"	颜色",,
橙黄色,"	颜色",,
石灰兰色,"	颜色",,
澄黄色,"	颜色",,
黑灰拼色,"	颜色",,
中红色,"	颜色",,
花朵黄色,"	颜色",,
蛋白色,"	颜色",,
长款 咖啡色,"	颜色",,
编织 咖啡色,"	颜色",,
稻草色,"	颜色",,
棕绿色,"	颜色",,
黄色,"	颜色",,
湖蓝色,"	颜色",,
粉色素色,"	颜色",,
淡花粉红色,"	颜色",,
树莓红色,"	颜色",,
迷蒙绿色,"	颜色",,
白蓝色,"	颜色",,
银灰色,"	颜色",,
露营袋绿色,"	颜色",,
哥特式紫色,"	颜色",,
石榴红色,"	颜色",,
蓝绿色,"	颜色",,
杏黄色,"	颜色",,
明黄色,"	颜色",,
砂色,"	颜色",,
深黑色,"	颜色",,
深军色,"	颜色",,
轻洗蓝色,"	颜色",,
海军蓝色,"	颜色",,
奶黄色,"	颜色",,
深卡其色,"	颜色",,
白黑色,"	颜色",,
深咖色,"	颜色",,
深红色,"	颜色",,
杏灰色,"	颜色",,
白条色,"	颜色",,
粉条色,"	颜色",,
红条色,"	颜色",,
粉紫色,"	颜色",,
青灰色,"	颜色",,
宝兰色,"	颜色",,
伏牛花红色,"	颜色",,
米咖色,"	颜色",,
粉白色,"	颜色",,
灰格子色,"	颜色",,
黄格子色,"	颜色",,
浅水兰色,"	颜色",,
复古黑色,"	颜色",,
李子色,"	颜色",,
天蓝色,"	颜色",,
橙黄丈青撞色,"	颜色",,
宝蓝丈青撞色,"	颜色",,
洗水蓝色,"	颜色",,
金咖色,"	颜色",,
深橘色,"	颜色",,
浅米色,"	颜色",,
朱红色,"	颜色",,
淡绿色,"	颜色",,
花豹色,"	颜色",,
深公主蓝色,"	颜色",,
咖紫色,"	颜色",,
浅摩卡色,"	颜色",,
墨玉绿色,"	颜色",,
优雅灰色,"	颜色",,
深粉色,"	颜色",,
灰棕色,"	颜色",,
糖果粉红色,"	颜色",,
太阳橙色,"	颜色",,
棕褐色,"	颜色",,
白紫色,"	颜色",,
牛仔兰色,"	颜色",,
花近灰色,"	颜色",,
圣诞红色,"	颜色",,
沙色,"	颜色",,
暴风灰色,"	颜色",,
經典黑色,"	颜色",,
铅灰色,"	颜色",,
紫格子色,"	颜色",,
淡灰条纹色,"	颜色",,
黑灰竖纹色,"	颜色",,
蓝格子色,"	颜色",,
鲜玫瑰色,"	颜色",,
藏蓝格纹色,"	颜色",,
深蓝格纹色,"	颜色",,
黑紫格色,"	颜色",,
兰灰条色,"	颜色",,
黄绿条色,"	颜色",,
红白条色,"	颜色",,
乌兰条色,"	颜色",,
亮黑色,"	颜色",,
墨蓝色,"	颜色",,
铭黄色,"	颜色",,
花朵色,"	颜色",,
卡其布色,"	颜色",,
横款 咖啡色,"	颜色",,
藕荷紫色,"	颜色",,
浅褐色,"	颜色",,
条纹蓝色,"	颜色",,
灰色,"	颜色",,
藏青色,"	颜色",,
深紫色,"	颜色",,
咖啡色,"	颜色",,
淡粉红色,"	颜色",,
蓝白色,"	颜色",,
中黄色,"	颜色",,
常春藤绿色,"	颜色",,
玉米穗黄色,"	颜色",,
丛林绿色,"	颜色",,
中牛仔蓝色,"	颜色",,
蛋黄色,"	颜色",,
蔚蓝色,"	颜色",,
灰蓝色,"	颜色",,
宝石蓝色,"	颜色",,
黄条本白色,"	颜色",,
浅麻灰色,"	颜色",,
胭脂红色,"	颜色",,
雾蓝色,"	颜色",,
混凝土灰色,"	颜色",,
灌木绿色,"	颜色",,
浅黄色,"	颜色",,
炭灰色,"	颜色",,
深中蓝色,"	颜色",,
石灰蓝色,"	颜色",,
淡蓝色,"	颜色",,
茶绿色,"	颜色",,
纯白色,"	颜色",,
蓝条色,"	颜色",,
蓝格色,"	颜色",,
上青色,"	颜色",,
天灰色,"	颜色",,
原白色,"	颜色",,
樱桃红色,"	颜色",,
黑色色,"	颜色",,
红黒色,"	颜色",,
茶色,"	颜色",,
蓝条纹色,"	颜色",,
特白色,"	颜色",,
浅宝兰色,"	颜色",,
红格色,"	颜色",,
粉格色,"	颜色",,
浅灰格色,"	颜色",,
乌色,"	颜色",,
淡黄色,"	颜色",,
水晶玫瑰红色,"	颜色",,
黑灰撞色,"	颜色",,
宝绿色,"	颜色",,
节日橙色,"	颜色",,
赭石色,"	颜色",,
绿碎花色,"	颜色",,
咖色,"	颜色",,
卡其色色,"	颜色",,
鲜绿色,"	颜色",,
桔红色,"	颜色",,
浅咖啡色,"	颜色",,
粉蓝色,"	颜色",,
红白渐变色,"	颜色",,
大款咖啡色,"	颜色",,
玫粉色,"	颜色",,
纯绿色,"	颜色",,
藏蓝色,"	颜色",,
五彩色,"	颜色",,
珍珠红色,"	颜色",,
法国蓝色,"	颜色",,
篮球橙色,"	颜色",,
深上青色,"	颜色",,
石竹橙色,"	颜色",,
灰咖色,"	颜色",,
浅驼色,"	颜色",,
粉红格子色,"	颜色",,
纱蓝竖纹色,"	颜色",,
深灰竖纹色,"	颜色",,
蓝底紫条色,"	颜色",,
红格子色,"	颜色",,
白底花纱格子色,"	颜色",,
黑白花纱绿格子色,"	颜色",,
藏蓝格子色,"	颜色",,
浅蓝色,"	颜色",,
白兰条色,"	颜色",,
兰棕格色,"	颜色",,
红点色,"	颜色",,
纯净黑色,"	颜色",,
藏兰色,"	颜色",,
玄黑色,"	颜色",,
金属色,"	颜色",,
混合色,"	颜色",,
翡翠色,"	颜色",,
红色,"	颜色",,
杏色,"	颜色",,
乌梅色,"	颜色",,
杂色,"	颜色",,
紫色,"	颜色",,
中蓝色,"	颜色",,
深蓝色,"	颜色",,
钴蓝色,"	颜色",,
海军宝蓝色,"	颜色",,
冷灰色,"	颜色",,
晨蓝色,"	颜色",,
黑白色,"	颜色",,
金章黄色,"	颜色",,
宝石红色,"	颜色",,
欣喜粉红色,"	颜色",,
啡色,"	颜色",,
土黄色,"	颜色",,
桃红色,"	颜色",,
中国红色,"	颜色",,
祖母绿色,"	颜色",,
翠绿色,"	颜色",,
深棕色,"	颜色",,
黄蓝色,"	颜色",,
浅咖色,"	颜色",,
烟灰色,"	颜色",,
青铜绿色,"	颜色",,
漂白色,"	颜色",,
海湾蓝色,"	颜色",,
粉黄色,"	颜色",,
红黑色,"	颜色",,
海青蓝色,"	颜色",,
橘红色,"	颜色",,
多色,"	颜色",,
上青条纹色,"	颜色",,
暗粉色,"	颜色",,
黑条色,"	颜色",,
海草绿色,"	颜色",,
核桃色色,"	颜色",,
咖啡白色,"	颜色",,
橄榄绿色,"	颜色",,
红格纹色,"	颜色",,
浅卡其色,"	颜色",,
花红色,"	颜色",,
灰调细竖纹色,"	颜色",,
彩蓝色,"	颜色",,
白色色,"	颜色",,
女装红色,"	颜色",,
黑底花色,"	颜色",,
蓝黑撞色,"	颜色",,
黑蓝色,"	颜色",,
黑蓝条色,"	颜色",,
白底藏青条色,"	颜色",,
象牙白色,"	颜色",,
图片色,"	颜色",,
活泼橙色,"	颜色",,
浅豆绿色,"	颜色",,
浅橙色,"	颜色",,
耀蓝色,"	颜色",,
大白色,"	颜色",,
中绿色,"	颜色",,
淡沙土色,"	颜色",,
浅金色,"	颜色",,
深杏色,"	颜色",,
骆驼色,"	颜色",,
白钠灰色,"	颜色",,
湛蓝色,"	颜色",,
黑夹灰色,"	颜色",,
鲜黄色,"	颜色",,
灰黑间色,"	颜色",,
藕红色,"	颜色",,
蘑菇色,"	颜色",,
酷黑色,"	颜色",,
黑白竖纹色,"	颜色",,
白色灰竖纹色,"	颜色",,
绿格子色,"	颜色",,
深紫格子色,"	颜色",,
红白格子色,"	颜色",,
半漂白色,"	颜色",,
嫩黄色,"	颜色",,
拿铁色,"	颜色",,
白格色,"	颜色",,
墨色,"	颜色",,
彩白色,"	颜色",,
白底印黑色,"	颜色",,
桔子色,"	颜色",,
醉红色,"	颜色",,
出色,"	颜色",,
米黄浅黄色,"	颜色",,
条纹绿色,"	颜色",,
小麦色,"	颜色",,
橘色,"	颜色",,
黄色素色,"	颜色",,
米白色,"	颜色",,
本白色,"	颜色",,
丝带红色,"	颜色",,
阳光黄色,"	颜色",,
深牛仔色,"	颜色",,
宝蓝色,"	颜色",,
淡灰色,"	颜色",,
芥黄色,"	颜色",,
翡翠绿色,"	颜色",,
黑绿色,"	颜色",,
深啡色,"	颜色",,
铁锈红色,"	颜色",,
灰白条色,"	颜色",,
花斑斓色,"	颜色",,
莓蓝色,"	颜色",,
军队绿色,"	颜色",,
柠檬黄色,"	颜色",,
芽黄色,"	颜色",,
原黑色,"	颜色",,
花灰色,"	颜色",,
夜蓝色,"	颜色",,
花黄色,"	颜色",,
咖绿色,"	颜色",,
蓝紫色,"	颜色",,
浅兰色,"	颜色",,
乳白色,"	颜色",,
白粉色,"	颜色",,
弗林特灰色,"	颜色",,
紫条色,"	颜色",,
灰条色,"	颜色",,
灰格色,"	颜色",,
太阳花黄色,"	颜色",,
淡柠檬黄色,"	颜色",,
航天蓝色,"	颜色",,
银黑色,"	颜色",,
白红色,"	颜色",,
黑色浅灰撞色,"	颜色",,
蓝莓果红色,"	颜色",,
豹纹原色,"	颜色",,
橘黄色,"	颜色",,
灰碎花色,"	颜色",,
鹅黄色,"	颜色",,
重洗牛仔蓝色,"	颜色",,
水绿色,"	颜色",,
青绿色,"	颜色",,
可绯色,"	颜色",,
双色,"	颜色",,
橘黄格色,"	颜色",,
正红色,"	颜色",,
白底黑色,"	颜色",,
浅青色,"	颜色",,
兰黄色,"	颜色",,
粉黑色,"	颜色",,
碳灰色,"	颜色",,
碳色,"	颜色",,
格子色,"	颜色",,
吊钟粉红色,"	颜色",,
桃红格子色,"	颜色",,
深耀蓝色,"	颜色",,
叶草绿色,"	颜色",,
淡灰细格色,"	颜色",,
淡灰竖纹色,"	颜色",,
纱灰粗竖纹色,"	颜色",,
黑白红色,"	颜色",,
灰蓝格色,"	颜色",,
黑白纱红格子色,"	颜色",,
绿韵格子色,"	颜色",,
蓝竖纹色,"	颜色",,
草绿配藏青色,"	颜色",,
橘粉色,"	颜色",,
白黑格色,"	颜色",,
红灰条色,"	颜色",,
梅红条色,"	颜色",,
绿灰格色,"	颜色",,
紫点色,"	颜色",,
军校蓝色,"	颜色",,
藕紫色,"	颜色",,
钻白色,"	颜色",,
