商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
惊喜连连翻系列-农场,"惊喜, 连连, 翻, 系列, -, 农场",,0,,0,0-17722-17808-17816:玩具、图书音像-图书-智力开发,荣信文化,213183,
惊喜连连翻系列-字母,"惊喜, 连连, 翻, 系列, -, 字母",,0,,0,0-17722-17808-17816:玩具、图书音像-图书-智力开发,荣信文化,213207,
数独揭秘,"数, 独, 揭秘",,0,,0,0-17722-17808-17816:玩具、图书音像-图书-智力开发,,10092714,
小企鹅 金牌宝宝学前必备－成语,"小企鹅, 金牌, 宝宝, 学前, 必备, －, 成语",小企鹅,1,,0,0-17722-17808-17820:玩具、图书音像-图书-入学教育,小企鹅,9780090,
小企鹅 金牌宝宝学前必备－拼音,"小企鹅, 金牌, 宝宝, 学前, 必备, －, 拼音",小企鹅,1,拼音,1,0-17722-17808-17820:玩具、图书音像-图书-入学教育,小企鹅,9780078,
臭袜子查理系列—大冒险,"臭, 袜子, 查理, 系列, —, 大冒险",,0,袜子,1,0-17722-17808-17862:玩具、图书音像-图书-卡通动漫,荣信文化,9528125,
丁丁历险记（大16开本）—奥托卡王的权杖,"丁丁, 历险记, （, 大, 16, 开本, ）, —, 奥, 托, 卡, 王, 的, 权杖",,0,,0,0-17722-17808-17862:玩具、图书音像-图书-卡通动漫,,10091426,
丁丁历险记（小16开本）—丁丁在西藏,"丁丁, 历险记, （, 小, 16, 开本, ）, —, 丁丁, 在, 西藏",,0,西藏,1,0-17722-17808-17862:玩具、图书音像-图书-卡通动漫,,10091697,
丁丁历险记（小16开本）—法老的雪茄,"丁丁, 历险记, （, 小, 16, 开本, ）, —, 法, 老的, 雪茄",,0,,0,0-17722-17808-17862:玩具、图书音像-图书-卡通动漫,,10091711,
丁丁历险记（小16开本）—红色拉克姆的宝藏,"丁丁, 历险记, （, 小, 16, 开本, ）, —, 红, 色拉, 克, 姆, 的, 宝藏",,0,,0,0-17722-17808-17862:玩具、图书音像-图书-卡通动漫,,10091744,
丁丁历险记（小16开本）—黑金之国,"丁丁, 历险记, （, 小, 16, 开本, ）, —, 黑金, 之国",黑金,1,,0,0-17722-17808-17862:玩具、图书音像-图书-卡通动漫,,10091733,
最新小学生分类作文大百科,"最新, 小学生, 分类, 作文, 大百科",,0,,0,0-17722-17808-19368:玩具、图书音像-图书-文教,商务印书馆,10838401,
洪恩GOGO学英语(洪恩朗读者),"洪恩, GOGO, 学, 英语, (, 洪恩, 朗, 读者, )",洪恩,1,,0,0-17722-17809-17822:玩具、图书音像-音像教育-英语学习,洪恩,302487,
洪恩 幼儿认知-启蒙篇(赠品),"洪恩, 幼儿, 认知, -, 启蒙, 篇, (, 赠品, )",洪恩,1,"幼儿, 认知",2,0-17722-17809-17823:玩具、图书音像-音像教育-幼儿与学前启蒙,洪恩,10191103,
洪恩宝宝问世界VCD套装,"洪恩, 宝宝, 问, 世界, VCD, 套装",洪恩,1,"vcd, 套装",2,0-17722-17809-17823:玩具、图书音像-音像教育-幼儿与学前启蒙,洪恩,302670,
洪恩小小口袋（朗读者）,"洪恩, 小, 小口袋, （, 朗, 读者, ）",洪恩,1,,0,0-17722-17809-17823:玩具、图书音像-音像教育-幼儿与学前启蒙,洪恩,302578,
迪士尼 经典拼图儿歌书 调皮米奇（赠品）,"迪士尼, 经典, 拼图, 儿歌, 书, 调皮, 米奇, （, 赠品, ）",迪士尼,1,拼图,1,0-17722-17809-17823:玩具、图书音像-音像教育-幼儿与学前启蒙,迪士尼,9999295,
5+3宝贝成长计划系列 米奇欢乐嘉年华,"5+3, 宝贝, 成长, 计划, 系列, 米奇, 欢乐, 嘉年华",宝贝,1,,0,0-17722-17809-18062:玩具、图书音像-音像教育-卡通动画,天艺音像,10142899,
天线宝宝 5碟礼品装3,"天线宝宝, 5, 碟, 礼品, 装, 3",天线宝宝,1,"碟, 礼品",2,0-17722-17809-18062:玩具、图书音像-音像教育-卡通动画,天艺音像,10143596,
铠甲勇士52集完整珍藏版,"铠甲勇士, 52, 集, 完整, 珍藏版",,0,铠甲勇士,1,0-17722-17809-18062:玩具、图书音像-音像教育-卡通动画,天艺音像,10141910,
