商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
公牛 GN-606A  3孔  2500W  电源转换器 3米,"公牛, GN-606A, 3, 孔, 2500W, 电源转换器, 3, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470710,
公牛 GN-606D  2孔  大功率4000W  电源转换器 1.8米,"公牛, GN-606D, 2, 孔, 大功率, 4000W, 电源转换器, 1.8, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470721,
公牛 GN-607  4孔  2500W  电源转换器 3米,"公牛, GN-607, 4, 孔, 2500W, 电源转换器, 3, 米",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470732,
公牛 GN-607 4孔1.8米插座,"公牛, GN-607, 4, 孔, 1.8, 米, 插座",公牛,1,"米, 插座",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538378,
公牛 GN-608 6米五孔插板（3-6）,"公牛, GN-608, 6, 米, 五孔, 插, 板, （, 3-6, ）",公牛,1,"米, 插, 板",3,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538470,
公牛 GN-612 两孔电源插板 1.8米线,"公牛, GN-612, 两, 孔, 电源, 插, 板, 1.8, 米线",公牛,1,"电源, 插, 板",3,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538469,
公牛 GN-906吸  2孔 2500W  转换插头,"公牛, GN-906, 吸, 2, 孔, 2500W, 转换插头",公牛,1,转换插头,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470754,
公牛 GN-B07防过载插座 2米,"公牛, GN-B07, 防过载, 插座, 2, 米",公牛,1,"插座, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538312,
公牛 GN-B15D 6孔 大功率4000W 电源转换器 3米(过载保护),"公牛, GN-B15D, 6, 孔, 大功率, 4000W, 电源转换器, 3, 米, (, 过载, 保护, )",公牛,1,"电源转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10470787,
公牛 GND-2机械式定时通断电转换器插座,"公牛, GND-2, 机械式, 定时, 通, 断电, 转换器, 插座",公牛,1,"转换器, 插座",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538414,
公牛 GN－609转换器6联3米,"公牛, GN, －, 609, 转换器, 6, 联, 3, 米",公牛,1,"转换器, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538243,
公牛 三孔电源插板GN-406D 1.8米,"公牛, 三, 孔, 电源, 插, 板, GN-406D, 1.8, 米",公牛,1,"电源, 插, 板, 米",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538425,
公牛 大功率防过载插座16A GN-B15D 3米 大功率 4000W 轻松保护电器 多用插孔,"公牛, 大功率, 防过载, 插座, 16A, GN-B15D, 3, 米, 大功率, 4000W, 轻松, 保护, 电器, 多用, 插孔",公牛,1,"插座, 米, 保护, 电器",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538505,
公牛 插座GN-107,"公牛, 插座, GN-107",公牛,1,插座,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538221,
公牛 插座GN-307 3米,"公牛, 插座, GN-307, 3, 米",公牛,1,"插座, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538209,
公牛 插座GN-312 5联3米 带独立开关 过载保护,"公牛, 插座, GN-312, 5, 联, 3, 米, 带, 独立, 开关, 过载, 保护",公牛,1,"插座, 米, 开关, 保护",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538254,
公牛 转换器GN-901A（美标）,"公牛, 转换器, GN-901A, （, 美标, ）",公牛,1,转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,440653,
公牛 转换器GN-901E（英标）,"公牛, 转换器, GN-901E, （, 英, 标, ）",公牛,1,转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,440675,
公牛 转换器GN-901G（德标）,"公牛, 转换器, GN-901G, （, 德, 标, ）",公牛,1,转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,440664,
公牛 转换器GN904,"公牛, 转换器, GN904",公牛,1,转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,440697,
公牛 防过载8联插座GN-217,"公牛, 防过载, 8, 联, 插座, GN-217",公牛,1,插座,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538334,
公牛 防过载插座GN-216,"公牛, 防过载, 插座, GN-216",公牛,1,插座,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,9538232,
公牛4位电源转换器（1.8米）GN-401W,"公牛, 4, 位, 电源转换器, （, 1.8, 米, ）, GN-401W",公牛,1,电源转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,246593,
公牛4位电源转换器（3米）GN-410,"公牛, 4, 位, 电源转换器, （, 3, 米, ）, GN-410",公牛,1,电源转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,246582,
公牛5位电源转换器（1.8米）GN-101B,"公牛, 5, 位, 电源转换器, （, 1.8, 米, ）, GN-101B",公牛,1,电源转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,246606,
公牛插座  GN-C1  6米三重防雷技术,"公牛, 插座, GN-C1, 6, 米, 三重, 防雷, 技术",公牛,1,"插座, 米",2,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10178220,
公牛插座  GN-E14 四孔3米 儿童保护门,"公牛, 插座, GN-E14, 四孔, 3, 米, 儿童保护, 门",公牛,1,"插座, 米, 门",3,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10178242,
公牛插座  GN-E17 六孔5米 超功率保护 儿童保护门,"公牛, 插座, GN-E17, 六, 孔, 5, 米, 超, 功率, 保护, 儿童保护, 门",公牛,1,"插座, 米, 保护, 门",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10178275,
公牛插座  GN-E18 八孔3米 超功率保护 儿童保护门,"公牛, 插座, GN-E18, 八, 孔, 3, 米, 超, 功率, 保护, 儿童保护, 门",公牛,1,"插座, 米, 保护, 门",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10178286,
公牛插座  GN-E22 四孔3米 一控一开关 儿童保护门,"公牛, 插座, GN-E22, 四孔, 3, 米, 一, 控, 一, 开关, 儿童保护, 门",公牛,1,"插座, 米, 开关, 门",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,公牛,10178264,
航嘉 巧管家无线排插PSF400,"航嘉, 巧, 管家, 无线, 排, 插, PSF400",航嘉,1,插,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,航嘉,9502083,
英特曼ACJ23016 六位3米独立开关、带过载保护多用插座,"英特曼, ACJ23016, 六位, 3, 米, 独立, 开关, 、, 带, 过载, 保护, 多用, 插座",英特曼,1,"米, 开关, 保护, 插座",4,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,英特曼,9700645,
超腾 转换器（CT-612 六位一开1.8米）,"超腾, 转换器, （, CT-612, 六位, 一开, 1.8, 米, ）",超腾,1,转换器,1,0-950560-18023-18024:手机数码电脑、家电-电器附件-拖线板,超腾,457090,
STUDIO二合一清洁套装（120ML 凝胶型）,"STUDIO, 二, 合一, 清洁套装, （, 120ML, 凝胶, 型, ）",studio,1,清洁套装,1,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,STUDIO,10325754,
ATVIA三合一清洁套装（200ML 凝胶型）,"ATVIA, 三合一, 清洁套装, （, 200ML, 凝胶, 型, ）",atvia,1,清洁套装,1,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,atvia,10325743,
乐歌 360度旋转液晶电视机吊架 PSR106A,"乐歌, 360, 度, 旋转, 液晶, 电视机, 吊架, PSR106A",乐歌,1,"液晶, 吊架",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795809,
乐歌 液晶电视上下角度调节型支架 PSW228ET1,"乐歌, 液晶, 电视, 上下, 角度, 调节, 型, 支架, PSW228ET1",乐歌,1,"液晶, 电视, 支架",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795854,
乐歌 液晶电视上下角度调节型支架 PSW228ST1,"乐歌, 液晶, 电视, 上下, 角度, 调节, 型, 支架, PSW228ST1",乐歌,1,"液晶, 电视, 支架",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795843,
乐歌 液晶电视上下角度调节挂架 PSW501ST,"乐歌, 液晶, 电视, 上下, 角度, 调节, 挂架, PSW501, ST",乐歌,1,"液晶, 电视",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795865,
乐歌 液晶电视固定型挂架 PSW320MF2,"乐歌, 液晶, 电视, 固定型, 挂架, PSW320MF2",乐歌,1,"液晶, 电视, 固定型",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795832,
乐歌 液晶电视固定型挂架 PSW320SF,"乐歌, 液晶, 电视, 固定型, 挂架, PSW320SF",乐歌,1,"液晶, 电视, 固定型",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795821,
乐歌 液晶电视固定挂架 WLB021,"乐歌, 液晶, 电视, 固定, 挂架, WLB021",乐歌,1,"液晶, 电视",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795810,
乐歌 液晶电视左右宽幅摇臂功能型挂架 PSW710L,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, PSW710L",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795901,
乐歌 液晶电视左右宽幅摇臂功能型挂架 PSW720S,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, PSW720S",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795912,
乐歌 液晶电视左右宽幅摇臂功能型挂架 WLB241,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, WLB241",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795898,
乐歌 液晶电视左右宽幅摇臂功能型挂架 WLB378,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, WLB378",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795923,
乐歌 液晶电视左右宽幅摇臂功能型挂架 WLB379,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, WLB379",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795934,
乐歌 液晶电视左右宽幅摇臂功能型挂架 WLB971SA,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, WLB971SA",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795876,
乐歌 液晶电视左右宽幅摇臂功能型挂架 WLB972SA,"乐歌, 液晶, 电视, 左右, 宽幅, 摇臂, 功能型, 挂架, WLB972SA",乐歌,1,"液晶, 电视, 摇臂",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795887,
乐歌 液晶电视机吊架  PSR105A,"乐歌, 液晶, 电视机, 吊架, PSR105A",乐歌,1,"液晶, 吊架",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,10795796,
乐歌（Loctek）液晶电视壁挂架/万向旋转伸缩通用挂架/电视机支架PSW976S（32-50寸）,"乐歌, （, Loctek, ）, 液晶, 电视, 壁, 挂架, /, 万向, 旋转, 伸缩, 通用, 挂架, /, 电视机, 支架, PSW976S, （, 32-50, 寸, ）",乐歌,1,"液晶, 电视, 支架",3,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,乐歌,11390526,
众合 K-10SP 万能空调遥控器,"众合, K-10SP, 万能, 空调, 遥控器",众合,1,"空调, 遥控器",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128522,
众合 RM-L968CX 组合式万能家电遥控器,"众合, RM-L968CX, 组, 合式, 万能, 家电, 遥控器",众合,1,"家电, 遥控器",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128475,
众合 TV-301 万能电视机遥控器,"众合, TV-301, 万能, 电视机, 遥控器",众合,1,遥控器,1,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128511,
众合 TV-39 万能电视机遥控器（银色）,"众合, TV-39, 万能, 电视机, 遥控器, （, 银色, ）",众合,1,遥控器,1,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128599,
众合 TV-A1 万能电视机遥控器（睿智黑）,"众合, TV, -, A1, 万能, 电视机, 遥控器, （, 睿智, 黑, ）",众合,1,"tv, 遥控器",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128497,
众合 UR-308 组合型万能遥控器,"众合, UR-308, 组合, 型, 万能, 遥控器",众合,1,遥控器,1,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,众合,11128486,
BREMAX 博脉 MRC-801万能空调遥控器,"BREMAX, 博脉, MRC-801, 万能, 空调, 遥控器",博脉,1,"空调, 遥控器",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,博脉,11128533,
seebest 视贝 T011t TV品牌通万能遥控器,"seebest, 视贝, T011t, TV, 品牌, 通, 万能, 遥控器",视贝,1,"tv, 遥控器",2,0-950560-18023-18025:手机数码电脑、家电-电器附件-家电配件,视贝,11128544,
Accell 超高速HDMI 1.3 自锁装置连接线-10.2 Gbps B104C-003B-CN(1m) 黑色,"accell, 超高速, HDMI, 1.3, 自, 锁, 装置, 连接线, -10.2, gbps, B104C-003B-CN, (, 1m, ), 黑色",accell,1,"锁, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705264,
Accell 超高速HDMI 1.3 自锁装置连接线-10.2 Gbps B104C-007B-CN(2m) 黑色,"accell, 超高速, HDMI, 1.3, 自, 锁, 装置, 连接线, -10.2, gbps, B104C-007B-CN, (, 2m, ), 黑色",accell,1,"锁, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705275,
Accell 超高速HDMI 1.3扁平连接线-10.2 Gbps B102C-003B-CN(1m) 白色,"accell, 超高速, HDMI, 1.3, 扁平, 连接线, -10.2, gbps, B102C-003B-CN, (, 1m, ), 白色",accell,1,连接线,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705300,
Accell 超高速HDMI 1.3扁平连接线-10.2 Gbps B102C-007B-CN(2m) 白色,"accell, 超高速, HDMI, 1.3, 扁平, 连接线, -10.2, gbps, B102C-007B-CN, (, 2m, ), 白色",accell,1,连接线,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705311,
Accell 超高速HDMI 1.3绿色环保连接线-10.2 Gbps B103C-003F-CN(1m) 白色,"accell, 超高速, HDMI, 1.3, 绿色, 环保, 连接线, -10.2, gbps, B103C-003F-CN, (, 1m, ), 白色",accell,1,"环保, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705322,
Accell 超高速HDMI 1.3绿色环保连接线-10.2 Gbps B103C-007F-CN(2m) 白色,"accell, 超高速, HDMI, 1.3, 绿色, 环保, 连接线, -10.2, gbps, B103C-007F-CN, (, 2m, ), 白色",accell,1,"环保, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705333,
Accell 高速HDMI 1.3 自锁装置连接线-6.75 Gbps B100C-003B-CN(1m) 白色,"accell, 高速, HDMI, 1.3, 自, 锁, 装置, 连接线, -6.75, gbps, B100C-003B-CN, (, 1m, ), 白色",accell,1,"锁, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705344,
Accell 高速HDMI 1.3绿色环保连接线-6.75 Gbps B041C-003F-2-CN(1m) 白色,"accell, 高速, HDMI, 1.3, 绿色, 环保, 连接线, -6.75, gbps, B041C-003F-2-CN, (, 1m, ), 白色",accell,1,"环保, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705402,
Accell 高速HDMI 1.3绿色环保连接线-6.75 Gbps B041C-006F-2-CN(1.8m) 白色,"accell, 高速, HDMI, 1.3, 绿色, 环保, 连接线, -6.75, gbps, B041C-006F-2-CN, (, 1.8m, ), 白色",accell,1,"环保, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705413,
Accell 高速HDMI 1.3自锁装置连接线-6.75 Gbps B100C-007B-CN(2m) 白色,"accell, 高速, HDMI, 1.3, 自, 锁, 装置, 连接线, -6.75, gbps, B100C-007B-CN, (, 2m, ), 白色",accell,1,"锁, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705355,
Accell 高速HDMI 1.3连接线-6.75 Gbps B041C-003B-CN(1m) 白色,"accell, 高速, HDMI, 1.3, 连接线, -6.75, gbps, B041C-003B-CN, (, 1m, ), 白色",accell,1,连接线,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705366,
Accell 高速HDMI 1.3连接线-6.75 Gbps B041C-007B-CN(2m) 白色 2M,"accell, 高速, HDMI, 1.3, 连接线, -6.75, gbps, B041C-007B-CN, (, 2m, ), 白色, 2M",accell,1,连接线,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,ACCELL,9705377,
AITER   2M HDMI高清线（1.4）,"AITER, 2M, HDMI, 高清, 线, （, 1.4, ）",aiter,1,"高清, 线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,AITER,10325732,
AITER  2M HDMI高清线（1.3）,"AITER, 2M, HDMI, 高清, 线, （, 1.3, ）",aiter,1,"高清, 线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,AITER,10325721,
平板电视豪华大礼包,"平板电视, 豪华, 大礼包",,0,平板电视,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10636916,
秋叶原 3.5母转双莲花母线  Q-379-0.2M,"秋叶原, 3.5, 母, 转, 双, 莲花, 母线, Q-379-0, ., 2M",秋叶原,1,,0,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10639551,
秋叶原 DVD色差视频线  OD8.0mm*3C  Q-615-1.8M,"秋叶原, DVD, 色差, 视频线, OD8.0mm, *, 3C, Q-615-1.8M",秋叶原,1,"dvd, 视频线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10553954,
秋叶原 DVD色差视频线QB-630 1.8m,"秋叶原, DVD, 色差, 视频线, QB-630, 1.8m",秋叶原,1,"dvd, 视频线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538882,
秋叶原 DVD色差视频线QB629 1.8m,"秋叶原, DVD, 色差, 视频线, QB629, 1.8m",秋叶原,1,"dvd, 视频线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538860,
秋叶原 QB215发烧级喇叭线2.5m,"秋叶原, QB215, 发烧, 级, 喇叭线, 2.5m",秋叶原,1,,0,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538848,
秋叶原 发烧级喇叭线QB203 OD13mm*2.5m*2pcs,"秋叶原, 发烧, 级, 喇叭线, QB203, OD13mm, *, 2.5m, *, 2, pcs",秋叶原,1,,0,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538837,
秋叶原 影音六头线  QB-730-1.8M,"秋叶原, 影音, 六, 头, 线, QB-730-1.8M",秋叶原,1,线,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10554060,
秋叶原 影音链接线 QB-730 1.8M,"秋叶原, 影音, 链, 接线, QB-730, 1.8M",秋叶原,1,链,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538893,
秋叶原 数码同轴线 QB-580 1.5m,"秋叶原, 数码, 同轴线, QB-580, 1.5m",秋叶原,1,数码,1,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538859,
秋叶原 音频四头线  OD6.0mm*2C QB-770-1.5M,"秋叶原, 音频, 四, 头, 线, OD6.0mm, *, 2C, QB-770-1.5M",秋叶原,1,"音频, 线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10554071,
秋叶原 音频连接线QB-773 1.5m,"秋叶原, 音频, 连接线, QB-773, 1.5m",秋叶原,1,"音频, 连接线",2,0-950560-18023-18042:手机数码电脑、家电-电器附件-线材/线缆,秋叶原,10538906,
