"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","rand","标注类别词"
"屋里香 松仁香麻片 松香浓浓 片片香脆 150克盒装 老上海特产好礼","屋里香, 松仁, 香, 麻, 片, 松香, 浓浓, 片片, 香脆, 150, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109174","0",""
"屋里香 松子（白）芝麻薄片 香脆可口 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 松子, （, 白, ）, 芝麻, 薄片, 香脆, 可口, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108886","0",""
"屋里香 松子（白）芝麻薄片（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼","屋里香, 松子, （, 白, ）, 芝麻, 薄片, （, 不, 添加, 蔗糖, ）, 无, 糖, 食品, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","糖, 食品, 健康, 上海特产","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108808","0",""
"屋里香 松子（白）芝麻薄皮 软Q香甜 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 松子, （, 白, ）, 芝麻, 薄, 皮, 软, Q, 香甜, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108897","0",""
"屋里香 松子（白）芝麻薄皮（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼","屋里香, 松子, （, 白, ）, 芝麻, 薄, 皮, （, 不, 添加, 蔗糖, ）, 无, 糖, 食品, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","糖, 食品, 健康, 上海特产","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108819","0",""
"屋里香 松子（黑）芝麻薄皮 软Q香甜 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 松子, （, 黑, ）, 芝麻, 薄, 皮, 软, Q, 香甜, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108900","0",""
"屋里香 松软纯豆酥 280克盒装 老上海特产好礼 健康好吃 送礼体面","屋里香, 松软, 纯, 豆, 酥, 280, 克, 盒装, 老, 上海特产, 好, 礼, 健康, 好吃, 送礼, 体面","屋里香","1","上海特产, 健康","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109209","0",""
"屋里香 松麻核桃 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼","屋里香, 松, 麻, 核桃, 健康, 绿色, 美味, 时尚, 260, 克, 时尚, 银, 盒装, 老, 上海特产, 好, 礼","屋里香","1","核桃, 健康, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108762","1","核桃"
"屋里香 松麻核桃（不添加蔗糖）无糖食品 健康休闲 150克袋装 老上海特产好礼","屋里香, 松, 麻, 核桃, （, 不, 添加, 蔗糖, ）, 无, 糖, 食品, 健康, 休闲, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","核桃, 糖, 食品, 健康, 上海特产","5","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108820","0","核桃"
"屋里香 枣泥松子饼 430克桶装 专利包装 送人体面 老上海特产好礼","屋里香, 枣泥, 松子, 饼, 430, 克, 桶装, 专利, 包装, 送人, 体面, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108977","0","体面"
"屋里香 枣泥核桃糕 软Q香浓 美味不停 200克盒装 老上海特产好礼","屋里香, 枣泥, 核桃糕, 软, Q, 香浓, 美味, 不停, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109185","0","核桃糕"
"屋里香 核桃花生糕 松软香浓 健康美味 200克盒装 老上海特产好礼","屋里香, 核桃, 花生, 糕, 松软, 香浓, 健康, 美味, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","99999","核桃, 花生, 健康, 上海特产","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109061","0","核桃, 花生, 糕"
"屋里香 桂花五仁 400克桶装 专利包装 送人体面 老上海特产好礼","屋里香, 桂花, 五, 仁, 400, 克, 桶装, 专利, 包装, 送人, 体面, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108966","0","体面"
"屋里香 桂花果仁软糖 香甜可口 花香四溢 200克盒装 老上海特产好礼","屋里香, 桂花, 果仁, 软糖, 香甜可口, 花香, 四, 溢, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109072","0","软糖"
"屋里香 楂精松子 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼","屋里香, 楂, 精, 松子, 健康, 绿色, 美味, 时尚, 260, 克, 时尚, 银, 盒装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108784","0",""
"屋里香 海派经典 老八味4盒组合装 奶油五香豆 松子粽子糖 花茶果仁酥 多仁牛皮糖","屋里香, 海派, 经典, 老, 八, 味, 4, 盒, 组合装, 奶油, 五香豆, 松子, 粽子, 糖, 花茶, 果仁, 酥, 多, 仁, 牛, 皮糖","屋里香","1","盒, 粽子, 糖, 花茶","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109038","0","粽子, 花茶"
"屋里香 海苔花生 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 海苔, 花生, 草本, 果仁, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","海苔, 花生, 健康, 上海特产","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108864","0","海苔, 花生"
"屋里香 清香松子 健康 绿色 美味 时尚 260克时尚银盒装 老上海特产好礼","屋里香, 清香, 松子, 健康, 绿色, 美味, 时尚, 260, 克, 时尚, 银, 盒装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108773","0",""
"屋里香 清香松子 松香迷人 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 清香, 松子, 松香, 迷人, 草本, 果仁, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108911","0",""
"屋里香 清香薄荷酥 松软清新 好吃又健康 200克盒装 老上海特产好礼","屋里香, 清香, 薄荷, 酥, 松软, 清新, 好吃, 又, 健康, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109083","0",""
"屋里香 滋补麻桃酥 280克盒装 老上海特产好礼 健康好吃 送礼体面","屋里香, 滋补, 麻, 桃酥, 280, 克, 盒装, 老, 上海特产, 好, 礼, 健康, 好吃, 送礼, 体面","屋里香","1","上海特产, 健康","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109210","0",""
"屋里香 滋补黑麻酥 松软香酥 好吃又健康 200克盒装 老上海特产好礼","屋里香, 滋补, 黑, 麻, 酥, 松软, 香酥, 好吃, 又, 健康, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109107","0",""
"屋里香 留香花生酥 酥软可口 香满四溢 200克盒装 老上海特产好礼","屋里香, 留香, 花生, 酥, 酥软, 可口, 香, 满, 四, 溢, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","花生, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109152","0","花生"
"屋里香 百果礼饼 430克桶装 专利包装 送人体面 老上海特产好礼","屋里香, 百果, 礼饼, 430, 克, 桶装, 专利, 包装, 送人, 体面, 老, 上海特产, 好, 礼","屋里香","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108988","0","礼饼, 体面"
"屋里香 美味苔香酥 280克盒装 老上海特产好礼 健康好吃 送礼体面","屋里香, 美味, 苔, 香酥, 280, 克, 盒装, 老, 上海特产, 好, 礼, 健康, 好吃, 送礼, 体面","屋里香","1","上海特产, 健康","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109221","0",""
"屋里香 腰果花生 香浓松脆 草本果仁 健康休闲 绿色食品 150克袋装 老上海特产好礼","屋里香, 腰果, 花生, 香浓, 松脆, 草本, 果仁, 健康, 休闲, 绿色食品, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","花生, 健康, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108922","0","花生"
"屋里香 花生牛扎 台湾风味 健康休闲 好吃不停 150克袋装 老上海特产好礼","屋里香, 花生, 牛, 扎, 台湾, 风味, 健康, 休闲, 好吃, 不停, 150, 克, 袋装, 老, 上海特产, 好, 礼","屋里香","1","花生, 健康, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108853","0","花生"
"屋里香 香溢黑麻酥 芝香浓浓 滋补养生 200克盒装 老上海特产好礼","屋里香, 香溢, 黑, 麻, 酥, 芝, 香, 浓浓, 滋补, 养生, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","养生, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109141","0","养生"
"屋里香 香甜玫瑰酥 280克盒装 老上海特产好礼 健康好吃 送礼体面","屋里香, 香甜, 玫瑰, 酥, 280, 克, 盒装, 老, 上海特产, 好, 礼, 健康, 好吃, 送礼, 体面","屋里香","1","上海特产, 健康","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109232","0",""
"屋里香 香甜玫瑰酥 松软香甜 好吃又健康 200克盒装 老上海特产好礼","屋里香, 香甜, 玫瑰, 酥, 松软, 香甜, 好吃, 又, 健康, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","健康, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109118","0",""
"屋里香 香醇花生酥 松软香浓 好吃又健康 200克盒装 老上海特产好礼","屋里香, 香醇, 花生, 酥, 松软, 香浓, 好吃, 又, 健康, 200, 克, 盒装, 老, 上海特产, 好, 礼","屋里香","1","花生, 健康, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109094","0","花生"
"屋里香经典组合一 枣泥核桃糕 松仁香麻片 奶油五香豆 留香花生酥 4味经典礼盒 老上海特产好礼","屋里香, 经典, 组, 合一, 枣泥, 核桃糕, 松仁, 香, 麻, 片, 奶油, 五香豆, 留香, 花生, 酥, 4, 味, 经典, 礼盒, 老, 上海特产, 好, 礼","屋里香","99999","花生, 礼盒, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109027","0","核桃糕, 花生"
"屋里香经典组合三 香甜玫瑰酥 滋补黑麻酥 香纯花生酥 清香薄荷酥 4味经典礼盒 老上海特产好礼","屋里香, 经典, 组合, 三, 香甜, 玫瑰, 酥, 滋补, 黑, 麻, 酥, 香, 纯, 花生, 酥, 清香, 薄荷, 酥, 4, 味, 经典, 礼盒, 老, 上海特产, 好, 礼","屋里香","1","花生, 礼盒, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109005","0","花生"
"屋里香经典组合二 山楂核桃糕 松仁香麻卷 奶油五香豆 香溢黑麻酥 4味经典礼盒 老上海特产好礼","屋里香, 经典, 组合, 二, 山楂, 核桃糕, 松仁, 香, 麻, 卷, 奶油, 五香豆, 香溢, 黑, 麻, 酥, 4, 味, 经典, 礼盒, 老, 上海特产, 好, 礼","屋里香","99999","礼盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11109016","0","核桃糕"
"屋里香经典组合四 山楂松子糕 核桃花生糕 松仁粽子糖 桂花果仁软糖 4味经典礼盒 老上海特产好礼","屋里香, 经典, 组合, 四, 山楂, 松子, 糕, 核桃, 花生, 糕, 松仁, 粽子, 糖, 桂花, 果仁, 软糖, 4, 味, 经典, 礼盒, 老, 上海特产, 好, 礼","屋里香","99999","核桃, 花生, 粽子, 糖, 礼盒, 上海特产","6","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","屋里香","11108999","0","糕, 核桃, 花生, 糕, 粽子, 软糖"
"恒康手剥山核桃，西瓜子，琥珀桃仁，开心果，小金生套餐","恒康, 手, 剥, 山核桃, ，, 西瓜子, ，, 琥珀, 桃仁, ，, 开心果, ，, 小金, 生, 套餐","恒康","1","山核桃, 开心果","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","恒康","10855342","0","山核桃, 开心果"
"原味肉松+酱化肉条+芝麻海苔肉松  600g","原味, 肉松, +, 酱, 化, 肉条, +, 芝麻, 海苔, 肉松, 600g","","0","肉松, 海苔, 肉松","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10734426","0","海苔, 肉松"
"火神の肉 孜然松软肉脯 500g","火神の肉, 孜, 然, 松软, 肉脯, 500g","火神の肉","99999","","0","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10775743","0","肉脯"
"火神の肉 现烤孜然松软肉脯 60g","火神の肉, 现, 烤, 孜, 然, 松软, 肉脯, 60g","火神の肉","99999","","0","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10799710","0","肉脯"
"火神の肉 现烤腊味松软肉脯 500g","火神の肉, 现, 烤, 腊味, 松软, 肉脯, 500g","火神の肉","99999","","0","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10775867","0","肉脯"
"火神の肉 现烤腊味松软肉脯 60g","火神の肉, 现, 烤, 腊味, 松软, 肉脯, 60g","火神の肉","99999","","0","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10799754","0","肉脯"
"芝麻海苔肉松+蜜汁肉松+深海鱼松  600g","芝麻, 海苔, 肉松, +, 蜜汁, 肉松, +, 深海, 鱼松, 600g","深海","1","海苔, 肉松, 肉松, 鱼松","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10734415","0","海苔, 肉松, 鱼松"
"芝麻海苔肉松+蜜汁肉松+香酥肉松  600g","芝麻, 海苔, 肉松, +, 蜜汁, 肉松, +, 香酥, 肉松, 600g","","0","海苔, 肉松, 肉松, 肉松","4","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","火神の肉","10734404","0","海苔, 肉松"
"鑫丽食品 八味果皇 软糖酥糖 经典荟萃 200克盒装 老上海特产好礼","鑫丽食品, 八, 味, 果, 皇, 软糖, 酥糖, 经典, 荟萃, 200, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","99999","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108660","0","软糖"
"鑫丽食品 天香果皇 香脆果仁大礼盒 650克盒装 老上海特产好礼","鑫丽食品, 天香, 果, 皇, 香脆, 果仁, 大, 礼盒, 650, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","1","礼盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108739","0",""
"鑫丽食品 松仁粽子糖 香甜可口 回味无穷 500克实惠袋装 老上海特产好礼","鑫丽食品, 松仁, 粽子, 糖, 香甜可口, 回味无穷, 500, 克, 实惠, 袋装, 老, 上海特产, 好, 礼","鑫丽食品","1","粽子, 糖, 上海特产","3","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108648","0","粽子"
"鑫丽食品 百果结缘 酥糖百汇 实惠满满 200克盒装 老上海特产好礼","鑫丽食品, 百果, 结缘, 酥糖, 百, 汇, 实惠, 满满, 200, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","1","上海特产","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108671","0",""
"鑫丽食品 精选松子芝麻薄片 香脆可口 220克金装礼盒 老上海特产好礼","鑫丽食品, 精选, 松子, 芝麻, 薄片, 香脆, 可口, 220, 克, 金, 装, 礼盒, 老, 上海特产, 好, 礼","鑫丽食品","1","礼盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108693","0",""
"鑫丽食品 精选松子芝麻薄皮 香甜Q软 350克金装礼盒 老上海特产好礼","鑫丽食品, 精选, 松子, 芝麻, 薄, 皮, 香甜, Q, 软, 350, 克, 金, 装, 礼盒, 老, 上海特产, 好, 礼","鑫丽食品","1","礼盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108682","0",""
"鑫丽食品 精选果皇大红礼盒 软糕百汇 400克盒装 老上海特产好礼","鑫丽食品, 精选, 果, 皇, 大红, 礼盒, 软, 糕, 百, 汇, 400, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","99999","礼盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108717","0","糕"
"鑫丽食品 精选果皇紫色礼盒 酥糖百汇 松软香甜 400克盒装 老上海特产好礼","鑫丽食品, 精选, 果, 皇, 紫色, 礼盒, 酥糖, 百, 汇, 松软, 香甜, 400, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","1","礼盒, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108706","0",""
"鑫丽食品 精选龙须酥 香甜酥松 名优特产 200克盒装 老上海特产好礼","鑫丽食品, 精选, 龙须, 酥, 香甜, 酥松, 名优, 特产, 200, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","1","特产, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108659","0",""
"鑫丽食品 花鸟物语 南仁芝麻 双色果仁 300克金色套装 老上海特产好礼","鑫丽食品, 花鸟, 物语, 南, 仁, 芝麻, 双, 色, 果仁, 300, 克, 金色, 套装, 老, 上海特产, 好, 礼","鑫丽食品","1","套装, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108728","0",""
"鑫丽食品 荣华富贵 果仁脆糖软糕百集 超大礼盒装 1190克盒装 老上海特产好礼","鑫丽食品, 荣华富贵, 果仁, 脆, 糖, 软, 糕, 百集, 超大, 礼盒装, 1190, 克, 盒装, 老, 上海特产, 好, 礼","鑫丽食品","99999","糖, 上海特产","2","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","鑫丽食品","11108740","0","糕"
"AKBAR雅克巴斯里兰卡进口 高山红茶两包装","AKBAR, 雅克, 巴, 斯里兰卡, 进口, 高山, 红茶, 两, 包装","akbar","1","红茶","1","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","雅克巴","11394391","0","红茶"
"100%美国进口 集珍斋美国加州提子干两包装","100, %, 美国, 进口, 集珍斋, 美国, 加州, 提, 子, 干, 两, 包装","集珍斋","1","","0","0-5135-17242-17243:食品、饮料、酒水-地方特产-上海特产","集珍斋","10825828","0",""
"包邮 马来西亚进口 EGO综合水果冻600克（100克*6碗装）","包, 邮, 马来西亚, 进口, EGO, 综合, 水, 果冻, 600, 克, （, 100, 克, *, 6, 碗, 装, ）","马来西亚","1","综合, 水, 果冻","3","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","EGO","11362484","0","果冻"
"包邮 台湾进口 一本水果布丁（多口味混装）400克","包, 邮, 台湾, 进口, 一本, 水果, 布丁, （, 多, 口味, 混, 装, ）, 400, 克","台湾","1","水果, 布丁","2","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","一本","11362575","0","布丁"
"包邮 台湾风味 好吃不黏牙的牛轧糖 独立包装6口味混称400克","包, 邮, 台湾, 风味, 好吃, 不黏, 牙, 的, 牛轧糖, 独立, 包装, 6, 口味, 混, 称, 400, 克","台湾","1","","0","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","糖叔叔","11362519","0",""
"包邮 台湾进口 素手浣花黑糖棒棒糖140克10枚入*3包","包, 邮, 台湾, 进口, 素手浣花, 黑糖, 棒棒糖, 140, 克, 10枚, 入, *, 3, 包","台湾","99999","","0","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","素手浣花","11362473","0","棒棒糖"
"【艺福堂】 乌龙茶 台湾春池 特级人参乌龙茶 0016 清香型 品尝装","【, 艺福堂, 】, 乌龙茶, 台湾, 春, 池, 特级, 人参, 乌龙茶, 0016, 清, 香型, 品尝, 装","艺福堂","1","乌龙茶, 人参, 乌龙茶","3","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","艺福堂","11098069","0","乌龙茶"
"【艺福堂】 厂家直销 QS认证 花草茶 明列子 250g/PVC罐装*2","【, 艺福堂, 】, 厂家直销, QS, 认证, 花草茶, 明, 列子, 250g/PVC, 罐装, *, 2","艺福堂","1","认证, 花草茶","2","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","艺福堂","11064758","0","花草茶"
"【艺福堂】乌龙茶 台湾 人参乌龙茶 0014 随手泡 80g","【, 艺福堂, 】, 乌龙茶, 台湾, 人参, 乌龙茶, 0014, 随手, 泡, 80g","艺福堂","1","乌龙茶, 人参, 乌龙茶","3","0-5135-17242-17244:食品、饮料、酒水-地方特产-台湾特产","艺福堂","11111936","0","乌龙茶"
