"商品名","分词结果","品牌词","品牌数","类别词","类别数","原始类别","原始品牌","商品CODE","标注类别词"
"传美 241-4彩色 电脑打印纸 80列4层彩色","传美, 241-4, 彩色, 电脑打印纸, 80, 列, 4, 层, 彩色","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134879","电脑打印纸"
"传美 241-4彩色二等分 电脑打印纸 80列4层彩色二等分","传美, 241-4, 彩色, 二, 等分, 电脑打印纸, 80, 列, 4, 层, 彩色, 二, 等分","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134915","电脑打印纸"
"传美 241-4彩色二等分（压线） 电脑打印纸 80列4层彩色二等分带压线","传美, 241-4, 彩色, 二, 等分, （, 压线, ）, 电脑打印纸, 80, 列, 4, 层, 彩色, 二等, 分带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134926","电脑打印纸"
"传美 241-4彩色（压线） 电脑打印纸 80列4层彩色带压线","传美, 241-4, 彩色, （, 压线, ）, 电脑打印纸, 80, 列, 4, 层, 彩, 色带, 压线","传美","1","电脑打印纸, 色带","2","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134880","电脑打印纸, 色带"
"传美 241-4空白 电脑打印纸 80列4层空白","传美, 241-4, 空白, 电脑打印纸, 80, 列, 4, 层, 空白","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134857","电脑打印纸"
"传美 241-4空白二等分 电脑打印纸 80列4层空白二等分","传美, 241-4, 空, 白二, 等分, 电脑打印纸, 80, 列, 4, 层, 空, 白二, 等分","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134891","电脑打印纸"
"传美 241-4空白二等分（压线） 电脑打印纸 80列4层空白二等分带压线","传美, 241-4, 空, 白二, 等分, （, 压线, ）, 电脑打印纸, 80, 列, 4, 层, 空白, 二等, 分带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134904","电脑打印纸"
"传美 241-4空白（压线） 电脑打印纸 80列4层空白带压线","传美, 241-4, 空白, （, 压线, ）, 电脑打印纸, 80, 列, 4, 层, 空, 白带, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134868","电脑打印纸"
"传美 241-5彩色 电脑打印纸 80列5层彩色","传美, 241-5, 彩色, 电脑打印纸, 80, 列, 5, 层, 彩色","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134959","电脑打印纸"
"传美 241-5彩色（压线） 电脑打印纸 80列5层彩色压线","传美, 241-5, 彩色, （, 压线, ）, 电脑打印纸, 80, 列, 5, 层, 彩色, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134960","电脑打印纸"
"传美 241-5空白 电脑打印纸 80列5层空白","传美, 241-5, 空白, 电脑打印纸, 80, 列, 5, 层, 空白","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134937","电脑打印纸"
"传美 241-5空白（压线） 电脑打印纸 80列5层空白压线","传美, 241-5, 空白, （, 压线, ）, 电脑打印纸, 80, 列, 5, 层, 空白, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134948","电脑打印纸"
"传美 381-1空白 电脑打印纸 132列单层空白","传美, 381-1, 空白, 电脑打印纸, 132, 列, 单层, 空白","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134971","电脑打印纸"
"传美 381-1空白（压线） 电脑打印纸 132列单层空白压线","传美, 381-1, 空白, （, 压线, ）, 电脑打印纸, 132, 列, 单层, 空白, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134982","电脑打印纸"
"传美 381-2空白 电脑打印纸","传美, 381-2, 空白, 电脑打印纸","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10134993","电脑打印纸"
"传美 381-2空白（压线） 电脑打印纸 132列2层空白压线","传美, 381-2, 空白, （, 压线, ）, 电脑打印纸, 132, 列, 2, 层, 空白, 压线","传美","1","电脑打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","10138100","电脑打印纸"
"传美 80列单层打印纸","传美, 80, 列, 单层, 打印纸","传美","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","9670068","打印纸"
"传美 80列单层打印纸二等分","传美, 80, 列, 单层, 打印纸, 二, 等分","传美","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","9670079","打印纸"
"传美 80列双层打印纸","传美, 80, 列, 双层, 打印纸","传美","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","传美","9670080","打印纸"
"宏兴 241-2打印纸","宏兴, 241-2, 打印纸","宏兴","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","宏兴","11100688","打印纸"
"宏兴 241-3打印纸","宏兴, 241-3, 打印纸","宏兴","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","宏兴","11100699","打印纸"
"宏兴 241-4打印纸","宏兴, 241-4, 打印纸","宏兴","1","打印纸","1","0-361-16601-16602-16604:办公用品-办公纸品-OA用纸-电脑打印纸","宏兴","11100702","打印纸"
"Double A 复印纸A3 80G 500张/包 5包一箱 整箱出售","double, A, 复印纸, A3, 80G, 500, 张, /, 包, 5, 包, 一箱, 整箱, 出售","","0","复印纸, 出售","2","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","Double A","569880","复印纸"
"Double A 复印纸A4 80G 100张/包","double, A, 复印纸, A4, 80G, 100, 张, /, 包","","0","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","Double A","10347725","复印纸"
"Double A 复印纸A4 80G 500张/包 5包一箱 整箱出售","double, A, 复印纸, A4, 80G, 500, 张, /, 包, 5, 包, 一箱, 整箱, 出售","","0","复印纸, 出售","2","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","Double A","569879","复印纸"
"Quality A3 70G复印纸 500张/包（五包一箱包装 整箱出售）","quality, A3, 70G, 复印纸, 500, 张, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","quality","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","Double A","9673590","复印纸"
"Quality A4 70G复印纸 500张/包（五包一箱包装 整箱出售）","quality, A4, 70G, 复印纸, 500, 张, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","quality","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","Double A","569891","复印纸"
"HP 复印纸A4/70g","HP, 复印纸, A4/70g","hp","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","HP","10183070","复印纸"
"HP 复印纸A4/80g","HP, 复印纸, A4/80g","hp","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","HP","10183069","复印纸"
"UPM 卓越佳印复印纸A3/85g","UPM, 卓越, 佳印, 复印纸, A3/85g","upm","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","UPM","10183058","复印纸"
"UPM 卓越佳印复印纸A4/85g","UPM, 卓越, 佳印, 复印纸, A4/85g","upm","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","UPM","10183047","复印纸"
"传美 A4 70g复印纸（五包一箱 整箱出售）","传美, A4, 70g, 复印纸, （, 五, 包, 一箱, 整箱, 出售, ）","传美","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","传美","565037","复印纸"
"传美 A4 80g复印纸（五包一箱 整箱出售）","传美, A4, 80g, 复印纸, （, 五, 包, 一箱, 整箱, 出售, ）","传美","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","传美","565048","复印纸"
"经典佳印纯白复印纸80克A4（5包一箱，整箱出售，仅限上海地区）","经典, 佳印, 纯白, 复印纸, 80, 克, A4, （, 5, 包, 一箱, ，, 整箱, 出售, ，, 仅限, 上海, 地区, ）","佳印","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","佳印","9699654","复印纸"
"兰汇东 A3 70g复印纸（五包一箱包装 整箱出售）","兰汇东, A3, 70g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","兰汇东","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","兰汇东","509160","复印纸"
"兰汇东 A3 80g复印纸（五包一箱包装 整箱出售）","兰汇东, A3, 80g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","兰汇东","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","兰汇东","509171","复印纸"
"兰汇东 A4 70g复印纸（五包一箱包装 整箱出售）","兰汇东, A4, 70g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","兰汇东","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","兰汇东","509148","复印纸"
"兰汇东 A4 80g复印纸（五包一箱包装 整箱出售）","兰汇东, A4, 80g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","兰汇东","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","兰汇东","509159","复印纸"
"兰汇东 A4 80g粉红复印纸/包（五包一箱包装 整箱出售）","兰汇东, A4, 80g, 粉红, 复印纸, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","兰汇东","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","兰汇东","9670024","复印纸"
"未来 普白复印纸70g/8k","未来, 普, 白, 复印纸, 70g/8k","未来","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","未来","10183081","复印纸"
"未来 普白复印纸A3/80g","未来, 普, 白, 复印纸, A3/80g","未来","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","未来","10182975","复印纸"
"未来 普白复印纸A4/70g（五包一箱 整箱出售）","未来, 普, 白, 复印纸, A4/70g, （, 五, 包, 一箱, 整箱, 出售, ）","未来","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","未来","10183003","复印纸"
"未来 普白复印纸A4/80g（五包一箱 整箱出售）","未来, 普, 白, 复印纸, A4/80g, （, 五, 包, 一箱, 整箱, 出售, ）","未来","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","未来","10183014","复印纸"
"未来 高白复印纸A4/80g（五包一箱 整箱出售）","未来, 高, 白, 复印纸, A4/80g, （, 五, 包, 一箱, 整箱, 出售, ）","未来","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","未来","10183036","复印纸"
"紫大地 A4 70g复印纸（五包一箱包装 整箱出售）","紫大地, A4, 70g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","紫大地","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","紫大地","565059","复印纸"
"紫大地 A4 80g复印纸（五包一箱包装 整箱出售）","紫大地, A4, 80g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","紫大地","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","紫大地","565060","复印纸"
"红歌柏 A3 70克复印纸/包（五包一箱包装 整箱出售）","红歌柏, A3, 70, 克, 复印纸, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","红歌柏","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","红歌柏","9670035","复印纸"
"红歌柏 A4 70克复印纸/包（五包一箱包装 整箱出售）","红歌柏, A4, 70, 克, 复印纸, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","红歌柏","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","红歌柏","9670002","复印纸"
"红歌柏 A4 80克复印纸/包（五包一箱包装 整箱出售）","红歌柏, A4, 80, 克, 复印纸, /, 包, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","红歌柏","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","红歌柏","9670013","复印纸"
"飞毛腿 A4 70g复印纸（五包一箱包装 整箱出售）","飞毛腿, A4, 70g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","飞毛腿","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","飞毛腿","509182","复印纸"
"飞毛腿 A4 80g复印纸（五包一箱包装 整箱出售）","飞毛腿, A4, 80g, 复印纸, （, 五, 包, 一箱, 包装, 整箱, 出售, ）","飞毛腿","1","复印纸","1","0-361-16601-16602-16605:办公用品-办公纸品-OA用纸-复印纸","飞毛腿","565026","复印纸"
"传美 210*30传真纸/卷（12卷一箱包装 整箱出售）","传美, 210, *, 30, 传真纸, /, 卷, （, 12, 卷, 一箱, 包装, 整箱, 出售, ）","传美","1","传真纸","1","0-361-16601-16602-16607:办公用品-办公纸品-OA用纸-热敏传真纸","传美","9670046","传真纸"
"传美TRANSMATE F4-216(30M)足米 热敏传真纸 白色（12卷一箱） 整箱出售","传美, TRANSMATE, F4-216, (, 30M, ), 足, 米, 热敏传真纸, 白色, （, 12, 卷, 一箱, ）, 整箱, 出售","传美","99999","米, 热敏传真纸, 出售","3","0-361-16601-16602-16607:办公用品-办公纸品-OA用纸-热敏传真纸","传美","9670057","米, 热敏传真纸"
"施乐 3125打印机碳粉106R01159","施乐, 3125, 打印机, 碳粉, 106R01159","施乐","1","打印机, 碳粉","2","0-361-16611-16612-16618:办公用品-办公耗材.-激光耗材-激光碳粉","施乐","9784445","打印机, 碳粉"
"联想（Lenovo）LT2020 原装专用黑色墨粉（适用LJ2000 M3120 M7120）","联想, （, Lenovo, ）, LT2020, 原装, 专用, 黑色, 墨粉, （, 适用, LJ2000, M3120, M7120, ）","联想","1","墨粉","1","0-361-16611-16612-16618:办公用品-办公耗材.-激光耗材-激光碳粉","联想","9784434","墨粉"
"联想（lenovo) LT2822墨粉盒（适用LJ2200/LJ2250/LJ2250N）","联想, （, lenovo, ), LT2822, 墨, 粉盒, （, 适用, LJ2200/LJ2250/LJ2250N, ）","联想","1","粉盒","1","0-361-16611-16612-16618:办公用品-办公耗材.-激光耗材-激光碳粉","联想","11043166","粉盒"
"佳能 传真机硒鼓FAX-L100","佳能, 传真机, 硒鼓, FAX-L100","佳能","1","传真机, 硒鼓","2","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","佳能","9738414","传真机, 硒鼓"
"佳能 传真机硒鼓FAX-L220(FX-3)","佳能, 传真机, 硒鼓, FAX-L220, (, FX-3, )","佳能","1","传真机, 硒鼓","2","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","佳能","9738403","传真机, 硒鼓"
"佳能（Canon）FX-9 黑色硒鼓（适用L100 MF4120 4010）","佳能, （, Canon, ）, FX-9, 黑色, 硒鼓, （, 适用, L100, MF4120, 4010, ）","佳能","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","佳能","11058041","硒鼓"
"惠普（HP）CE505A 黑色硒鼓","惠普, （, HP, ）, CE505A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371418","硒鼓"
"惠普（HP）LaserJet CB436A 黑色硒鼓","惠普, （, HP, ）, LaserJet, CB436A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371394","硒鼓"
"惠普（HP）LaserJet CB540A 黑色硒鼓","惠普, （, HP, ）, LaserJet, CB540A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371429","硒鼓"
"惠普（HP）LaserJet CB541A 青色硒鼓","惠普, （, HP, ）, LaserJet, CB541A, 青色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371430","硒鼓"
"惠普（HP）LaserJet CC388A 黑色硒鼓","惠普, （, HP, ）, LaserJet, CC388A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371383","硒鼓"
"惠普（HP）LaserJet Q2612A 黑色硒鼓","惠普, （, HP, ）, LaserJet, Q2612A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371372","硒鼓"
"惠普（HP）LaserJet Q3960A 黑色硒鼓","惠普, （, HP, ）, LaserJet, Q3960A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371510","硒鼓"
"惠普（HP）LaserJet Q3961A 青色硒鼓","惠普, （, HP, ）, LaserJet, Q3961A, 青色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371521","硒鼓"
"惠普（HP）LaserJet Q3962A 黄色硒鼓","惠普, （, HP, ）, LaserJet, Q3962A, 黄色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371532","硒鼓"
"惠普（HP）LaserJet Q3963A 品红色硒鼓","惠普, （, HP, ）, LaserJet, Q3963A, 品红色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11373743","硒鼓"
"惠普（HP）LaserJet Q5949A 黑色硒鼓","惠普, （, HP, ）, LaserJet, Q5949A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371441","硒鼓"
"惠普（HP）LaserJet Q7516A 黑色硒鼓","惠普, （, HP, ）, LaserJet, Q7516A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371452","硒鼓"
"惠普（HP）LaserJet Q7553A 黑色硒鼓","惠普, （, HP, ）, LaserJet, Q7553A, 黑色, 硒鼓","惠普","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","惠普","11371407","硒鼓"
"联想 2020打印机硒鼓LP08031738","联想, 2020, 打印机, 硒鼓, LP08031738","联想","1","打印机, 硒鼓","2","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","联想","9784423","打印机, 硒鼓"
"联想（lenovo) LD2822 黑色硒鼓（适用机型LJ2200 LJ2250N）","联想, （, lenovo, ), LD2822, 黑色, 硒鼓, （, 适用, 机型, LJ2200, LJ2250N, ）","联想","1","硒鼓","1","0-361-16611-16612-16619:办公用品-办公耗材.-激光耗材-激光硒鼓","联想","11043155","硒鼓"
"夏普 3020复印机碳粉A3AR021STC","夏普, 3020, 复印机, 碳粉, A3AR021STC","夏普","1","复印机, 碳粉","2","0-361-16611-16613-16620:办公用品-办公耗材.-复印机耗材-复印机墨粉","夏普","9784412","复印机, 碳粉"
"夏普 复印机碳粉AR2618","夏普, 复印机, 碳粉, AR2618","夏普","1","复印机, 碳粉","2","0-361-16611-16613-16620:办公用品-办公耗材.-复印机耗材-复印机墨粉","夏普","9738436","复印机, 碳粉"
"理光 1270D复印机碳粉AF-1515","理光, 1270D, 复印机, 碳粉, AF-1515","理光","1","复印机, 碳粉","2","0-361-16611-16613-16620:办公用品-办公耗材.-复印机耗材-复印机墨粉","理光","9738425","复印机, 碳粉"
"EPSON 7753/SO15509色带帯框","EPSON, 7753/SO15509, 色带, 帯, 框","epson","1","色带","1","0-361-16611-16614-16621:办公用品-办公耗材.-针式耗材-针式机色带框","EPSON","10297093","色带"
"EPSON 色带框7753/SO15509","EPSON, 色带, 框, 7753/SO15509","epson","1","色带","1","0-361-16611-16614-16621:办公用品-办公耗材.-针式耗材-针式机色带框","EPSON","9682751","色带"
"EPSON 色带框SO15016/SO15524","EPSON, 色带, 框, SO15016/SO15524","epson","1","色带","1","0-361-16611-16614-16621:办公用品-办公耗材.-针式耗材-针式机色带框","EPSON","9682740","色带"
"惠普（HP）51645AA 45号 黑色墨盒","惠普, （, HP, ）, 51645, AA, 45, 号, 黑色, 墨盒","惠普","1","墨盒","1","0-361-16611-16617-16625:办公用品-办公耗材.-喷墨耗材-喷墨机墨盒","惠普","11371463","墨盒"
"惠普（HP）C8721ZZ 801号 黑色墨盒","惠普, （, HP, ）, C8721ZZ, 801, 号, 黑色, 墨盒","惠普","1","墨盒","1","0-361-16611-16617-16625:办公用品-办公耗材.-喷墨耗材-喷墨机墨盒","惠普","11373754","墨盒"
"惠普（HP）C8771ZZ 801号 青色墨盒","惠普, （, HP, ）, C8771ZZ, 801, 号, 青色, 墨盒","惠普","1","墨盒","1","0-361-16611-16617-16625:办公用品-办公耗材.-喷墨耗材-喷墨机墨盒","惠普","11371474","墨盒"
"惠普（HP）C8772ZZ 801号 品红色墨盒","惠普, （, HP, ）, C8772ZZ, 801, 号, 品红色, 墨盒","惠普","1","墨盒","1","0-361-16611-16617-16625:办公用品-办公耗材.-喷墨耗材-喷墨机墨盒","惠普","11371485","墨盒"
"惠普（HP）C8773ZZ 801号 黄色墨盒","惠普, （, HP, ）, C8773ZZ, 801, 号, 黄色, 墨盒","惠普","1","墨盒","1","0-361-16611-16617-16625:办公用品-办公耗材.-喷墨耗材-喷墨机墨盒","惠普","11371496","墨盒"
"兄弟(brother)TZ-221 9mm 白底黑字 标签色带 (适用 PT-2420PC PT-3600)","兄弟, (, brother, ), TZ-221, 9mm, 白底黑字, 标签, 色带, (, 适用, PT-2420, PC, PT-3600, )","兄弟","1","标签, 色带","2","0-361-16611-17965-19466:办公用品-办公耗材.-标签机耗材-色带","兄弟","10801033","标签, 色带"
