商品名,分词结果,品牌词,品牌数,类别词,类别数,原始类别,原始品牌,商品CODE,标注类别词
驰名商标 飞雕开关 118-V8 钢支架 小盒 电话电脑,"驰名商标, 飞雕, 开关, 118-V8, 钢, 支架, 小盒, 电话, 电脑",飞雕,1,"开关, 支架, 电脑",3,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11387114,开关
驰名商标 飞雕开关 86-K10 电视电话插,"驰名商标, 飞雕, 开关, 86-K10, 电视电话, 插",飞雕,1,"开关, 插",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11167923,开关
驰名商标 飞雕开关 86钢支架 V8 纯白 16A空调插,"驰名商标, 飞雕, 开关, 86, 钢, 支架, V8, 纯白, 16A, 空调, 插",飞雕,1,"开关, 支架, 空调, 插",4,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11219106,开关
驰名商标 飞雕开关 86钢支架 V8 纯白 三开双控,"驰名商标, 飞雕, 开关, 86, 钢, 支架, V8, 纯白, 三, 开, 双, 控",飞雕,1,"开关, 支架",2,0-950560-18023-19147:手机数码电脑、家电-电器附件-墙面开关,飞雕Feidiao,11218965,开关
MAXELL（麦克赛尔）5号碱性电池4节卡装,"MAXELL, （, 麦克赛尔, ）, 5, 号, 碱性, 电池, 4, 节, 卡, 装",maxell,1,电池,1,0-950560-18023-19981:手机数码电脑、家电-电器附件-电池,MAXELL（麦克赛尔）,159886,电池
麦克赛尔7号碱性电池6+2节促销装 2组装,"麦克赛尔, 7, 号, 碱性, 电池, 6+2, 节, 促销装, 2, 组装",麦克赛尔,1,电池,1,0-950560-18023-19981:手机数码电脑、家电-电器附件-电池,MAXELL（麦克赛尔）,235450,电池
万利达 MDVD-6658  播放器,"万利达, MDVD-6658, 播放器",万利达,1,,0,0-950560-18806-18807:手机数码电脑、家电-影音视听-DVD类,万利达,9560423,播放器
万利达 移动PDVD-1700   播放器,"万利达, 移动, PDVD-1700, 播放器",万利达,1,移动,1,0-950560-18806-18807:手机数码电脑、家电-影音视听-DVD类,万利达,9560376,移动
三星蓝光播放器BD-C5500,"三星, 蓝光, 播放器, BD-C5500",三星,1,,0,0-950560-18806-18807:手机数码电脑、家电-影音视听-DVD类,三星,10606345,播放器
奇声 移动PD-8310 仅限上海地区销售,"奇声, 移动, PD-8310, 仅限, 上海, 地区, 销售",奇声,1,移动,1,0-950560-18806-18807:手机数码电脑、家电-影音视听-DVD类,奇声,9560489,移动
索尼BDP-S470  3D蓝光播放器,"索尼, BDP-S470, 3D, 蓝光, 播放器",索尼,1,,0,0-950560-18806-18807:手机数码电脑、家电-影音视听-DVD类,索尼,10401680,播放器
JVC EX-A10UFDVD迷你音响,"JVC, EX-A10UFDVD, 迷你音响",jvc,1,迷你音响,1,0-950560-18806-18828:手机数码电脑、家电-影音视听-迷你音响,JVC,10674767,迷你音响
JVC EX-A15 UFDVD迷你音响,"JVC, EX-A15, UFDVD, 迷你音响",jvc,1,迷你音响,1,0-950560-18806-18828:手机数码电脑、家电-影音视听-迷你音响,JVC,10674756,迷你音响
Victor 迷你音响 NDV-208 仅限上海地区销售,"victor, 迷你音响, NDV-208, 仅限, 上海, 地区, 销售",victor,1,迷你音响,1,0-950560-18806-18828:手机数码电脑、家电-影音视听-迷你音响,Victor,9558401,迷你音响
"安桥CS-525(CR-525,D-525(B))迷你音响组合","安桥, CS-525, (, CR-525, ,, D-525, (, B, ), ), 迷你音响, 组合",安桥,1,迷你音响,1,0-950560-18806-18828:手机数码电脑、家电-影音视听-迷你音响,安桥,10682787,迷你音响
山水迷你音响MC-1312D2,"山水, 迷你音响, MC-1312, D2",山水,1,迷你音响,1,0-950560-18806-18828:手机数码电脑、家电-影音视听-迷你音响,山水,10539158,迷你音响
索尼  DVD迷你音响组合 WHG-SLK1I/CCN4,"索尼, DVD, 迷你音响, 组合, WHG-SLK1I/CCN4",索尼,1,"dvd, 迷你音响",2,0-950560-18806-18828:手机数码电脑、家电-影音视听-迷你音响,索尼,10724251,"dvd, 迷你音响"
ACA 电热水壶 AK-SCW17C,"ACA, 电热水壶, AK-SCW17C",aca,1,电热水壶,1,0-950560-950562-950563:手机数码电脑、家电-厨用家电-电水壶/开水煲/热水瓶,ACA,437821,电热水壶
奔腾电水壶PK1502,"奔腾, 电水壶, PK1502",奔腾,1,电水壶,1,0-950560-950562-950563:手机数码电脑、家电-厨用家电-电水壶/开水煲/热水瓶,奔腾,10158119,电水壶
格兰仕电热水壶DH18-12021(赠品),"格兰仕, 电热水壶, DH18-12021, (, 赠品, )",格兰仕,1,电热水壶,1,0-950560-950562-950563:手机数码电脑、家电-厨用家电-电水壶/开水煲/热水瓶,格兰仕,9988038,电热水壶
ACA电饭盒ALB-M60A,"ACA, 电, 饭盒, ALB-M60A",aca,1,饭盒,1,0-950560-950562-950565:手机数码电脑、家电-厨用家电-其他厨房家电,ACA,11184091,饭盒
利仁电饼铛2018A时尚型,"利仁, 电饼铛, 2018A, 时尚, 型",利仁,1,电饼铛,1,0-950560-950562-950565:手机数码电脑、家电-厨用家电-其他厨房家电,利仁,9835545,电饼铛
西贝乐 多功能果蔬食材鲜榨鲜磨机 XBLL-55,"西贝乐, 多功能, 果, 蔬食, 材, 鲜, 榨, 鲜, 磨, 机, XBLL-55",西贝乐,1,,0,0-950560-950562-950566:手机数码电脑、家电-厨用家电-榨汁机/搅拌机,西贝乐,382230,
东菱水果豆浆机(DONLIM)BL-9233,"东菱, 水果, 豆浆机, (, DONLIM, ), BL-9233",东菱,1,"水果, 豆浆机",2,0-950560-950562-950568:手机数码电脑、家电-厨用家电-豆浆机,东菱,210286,豆浆机
九阳 无网系列豆浆机 DJ13B-A15,"九阳, 无, 网, 系列, 豆浆机, DJ13B-A15",九阳,1,"网, 豆浆机",2,0-950560-950562-950568:手机数码电脑、家电-厨用家电-豆浆机,九阳,11104113,豆浆机
九阳豆浆机DJ12B-A10,"九阳, 豆浆机, DJ12B-A10",九阳,1,豆浆机,1,0-950560-950562-950568:手机数码电脑、家电-厨用家电-豆浆机,九阳,10296090,豆浆机
松下U-STYLE系列电脑型电饭煲SR-PMH101,"松下, U-STYLE, 系列, 电脑, 型, 电饭煲, SR-PMH101",松下,1,"电脑, 电饭煲",2,0-950560-950562-950571:手机数码电脑、家电-厨用家电-电饭煲/锅,松下,10095564,电饭煲
松下备长炭系列电脑型电饭煲SR-MS182,"松下, 备, 长, 炭系列, 电脑, 型, 电饭煲, SR-MS182",松下,1,"电脑, 电饭煲",2,0-950560-950562-950571:手机数码电脑、家电-厨用家电-电饭煲/锅,松下,10095768,电饭煲
格兰仕 电脑版智能 4L 电饭煲B701T-40F5G,"格兰仕, 电脑, 版, 智能, 4L, 电饭煲, B701T-40F5G",格兰仕,1,"电脑, 电饭煲",2,0-950560-950562-950571:手机数码电脑、家电-厨用家电-电饭煲/锅,格兰仕,11049404,电饭煲
美的 电饭煲 YJ507J,"美的, 电饭煲, YJ507J",美的,1,电饭煲,1,0-950560-950562-950571:手机数码电脑、家电-厨用家电-电饭煲/锅,美的,9624639,电饭煲
东菱电压力锅XB40D-80S(机械版),"东菱, 电压力锅, XB40D-80S, (, 机械, 版, )",东菱,1,电压力锅,1,0-950560-950562-950573:手机数码电脑、家电-厨用家电-电压力锅,东菱,364545,电压力锅
东菱电压力锅XB50A-90S2,"东菱, 电压力锅, XB50A-90S2",东菱,1,电压力锅,1,0-950560-950562-950573:手机数码电脑、家电-厨用家电-电压力锅,东菱,10608023,电压力锅
格兰仕电压力锅YB502C,"格兰仕, 电压力锅, YB502C",格兰仕,1,电压力锅,1,0-950560-950562-950573:手机数码电脑、家电-厨用家电-电压力锅,格兰仕,10690605,电压力锅
科立泰电压力锅QLT-3861,"科立泰, 电压力锅, QLT-3861",科立泰,1,电压力锅,1,0-950560-950562-950573:手机数码电脑、家电-厨用家电-电压力锅,科立泰,9831383,电压力锅
苏泊尔电压力锅CYSB50FC3 黑色,"苏泊尔, 电压力锅, CYSB50FC3, 黑色",苏泊尔,1,电压力锅,1,0-950560-950562-950573:手机数码电脑、家电-厨用家电-电压力锅,苏泊尔,9783011,电压力锅
德国SKG 多功能电蒸笼TLE-08A（送专用蒸盘）,"德国SKG, 多功能, 电, 蒸笼, TLE-08A, （, 送, 专用, 蒸, 盘, ）",德国skg,1,,0,0-950560-950562-950574:手机数码电脑、家电-厨用家电-电炖锅/蒸锅/紫砂煲,德国SKG,10947452,
美的电蒸锅 03J062,"美的, 电蒸锅, 03J062",美的,1,电蒸锅,1,0-950560-950562-950574:手机数码电脑、家电-厨用家电-电炖锅/蒸锅/紫砂煲,美的,10005864,电蒸锅
美的电磁炉 SK2002,"美的, 电磁炉, SK2002",美的,1,电磁炉,1,0-950560-950562-950575:手机数码电脑、家电-厨用家电-电磁炉,美的,10100206,电磁炉
松下小平板系列微波炉NN-SF329HXPE,"松下, 小, 平板, 系列, 微波炉, NN-SF329HXPE",松下,1,微波炉,1,0-950560-950562-950576:手机数码电脑、家电-厨用家电-微波炉,松下,10096181,微波炉
格兰仕微波炉G80D23CN1P-G5(S0),"格兰仕, 微波炉, G80D23CN1P-G5, (, S0, )",格兰仕,1,微波炉,1,0-950560-950562-950576:手机数码电脑、家电-厨用家电-微波炉,格兰仕,9987999,微波炉
格兰仕微波炉G80F23CN2L-Q6(R0),"格兰仕, 微波炉, G80F23CN2L-Q6, (, R0, )",格兰仕,1,微波炉,1,0-950560-950562-950576:手机数码电脑、家电-厨用家电-微波炉,格兰仕,9987988,微波炉
美的 不锈钢内胆 微波炉 MM823ESJ-SA,"美的, 不锈钢, 内胆, 微波炉, MM823ESJ-SA",美的,1,"内胆, 微波炉",2,0-950560-950562-950576:手机数码电脑、家电-厨用家电-微波炉,美的,250306,微波炉
美的 微波炉 EG823MF4-NR1,"美的, 微波炉, EG823MF4-NR1",美的,1,微波炉,1,0-950560-950562-950576:手机数码电脑、家电-厨用家电-微波炉,美的,11104817,微波炉
东菱电烤箱XBO-9258（22L超大容量）,"东菱, 电烤箱, XBO-9258, （, 22L, 超大, 容量, ）",东菱,1,电烤箱,1,0-950560-950562-950578:手机数码电脑、家电-厨用家电-电烤箱,东菱,364523,电烤箱
爱惠浦（Everpure） MC  净水机 （部分城市可免费安装）,"爱惠浦, （, Everpure, ）, MC, 净水, 机, （, 部分, 城市, 可, 免费, 安装, ）",爱惠浦,1,净水,1,0-950560-950562-950579:手机数码电脑、家电-厨用家电-净水器,爱惠浦（Everpure）,10166753,净水
日创家用多功能酸奶机RC-7B黄色,"日创, 家用, 多功能, 酸奶机, RC-7B, 黄色",日创,1,酸奶机,1,0-950560-950562-950580:手机数码电脑、家电-厨用家电-酸奶机/煮蛋器/打蛋机,日创,9699870,酸奶机
超人 蒸汽喷雾电熨斗(SY575),"超人, 蒸汽, 喷雾, 电熨斗, (, SY575, )",超人,1,"喷雾, 电熨斗",2,0-950560-950583-950584:手机数码电脑、家电-日用电器-电熨斗,超人,456860,电熨斗
飞利浦 电熨斗GC1920 衣捷EasySpeed系列（粉红）,"飞利浦, 电熨斗, GC1920, 衣, 捷, EasySpeed, 系列, （, 粉红, ）",飞利浦,1,电熨斗,1,0-950560-950583-950584:手机数码电脑、家电-日用电器-电熨斗,飞利浦,10343234,电熨斗
飞利浦电熨斗 GC1981,"飞利浦, 电熨斗, GC1981",飞利浦,1,电熨斗,1,0-950560-950583-950584:手机数码电脑、家电-日用电器-电熨斗,飞利浦,10539567,电熨斗
TCL电话机HCD868(95)TSDL（黑）,"TCL, 电话机, HCD868, (, 95, ), TSDL, （, 黑, ）",tcl,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,TCL,10188564,电话机
松下电话机KX-TG70CN-1白,"松下, 电话机, KX-TG70CN-1, 白",松下,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,松下,10188688,电话机
步步高 来电显示电话机 HCD007(172)白色,"步步高, 来电显示, 电话机, HCD007, (, 172, ), 白色",步步高,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,步步高,9702152,电话机
西门子电话机2025黑色,"西门子, 电话机, 2025, 黑色",西门子,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,西门子,10188440,电话机
西门子电话机HA8000(28)P/TS(2005)白色,"西门子, 电话机, HA8000, (, 28, ), P/TS, (, 2005, ), 白色",西门子,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,西门子,10188417,电话机
飞利浦电话机CORD040（蓝色）,"飞利浦, 电话机, CORD040, （, 蓝色, ）",飞利浦,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,飞利浦,10289631,电话机
飞利浦电话机CORD160 黑,"飞利浦, 电话机, CORD160, 黑",飞利浦,1,电话机,1,0-950560-950583-950592:手机数码电脑、家电-日用电器-电话机,飞利浦,10188326,电话机
Honeywell霍尼韦尔进口空气净化器HAP-17000-CHN,"honeywell, 霍尼韦尔, 进口, 空气净化器, HAP-17000-CHN",honeywell,1,空气净化器,1,0-950560-950583-950593:手机数码电脑、家电-日用电器-空气净化器/清新器,Honeywell,10955154,空气净化器
红心 加湿器 RH374,"红心, 加湿器, RH374",红心,1,加湿器,1,0-950560-950583-950594:手机数码电脑、家电-日用电器-加湿器/除湿器,红心,11007311,加湿器
先锋 遥控升降转页扇 KYT-30G4A/R,"先锋, 遥控, 升降, 转页扇, KYT-30G4A/R",先锋,1,遥控,1,0-950560-950583-950595:手机数码电脑、家电-日用电器-电风扇/空调扇,先锋,11569554,遥控
美的　迷你台扇　FT18-L1,"美的, 　, 迷你, 台扇, 　, FT18-L1",美的,1,,0,0-950560-950583-950595:手机数码电脑、家电-日用电器-电风扇/空调扇,美的,11010778,台扇
沁园 饮水机 B77,"沁园, 饮水机, B77",沁园,1,饮水机,1,0-950560-950583-950596:手机数码电脑、家电-日用电器-饮水机,沁园,9696122,饮水机
longde 龙的吸尘机NK-187,"longde, 龙的, 吸尘, 机, NK-187",longde,1,,0,0-950560-950583-950597:手机数码电脑、家电-日用电器-吸尘器,longde,11100848,
福玛特吸尘器FM-A1000,"福玛特, 吸尘器, FM-A1000",福玛特,1,吸尘器,1,0-950560-950583-950597:手机数码电脑、家电-日用电器-吸尘器,福玛特,9769102,吸尘器
奥普浴霸正品 灯暖防爆灯泡 灯暖和照明互锁 FDP311B,"奥, 普, 浴霸, 正品, 灯, 暖, 防爆, 灯泡, 灯, 暖和, 照明, 互锁, FDP311B",,0,"浴霸, 灯, 灯泡, 灯, 照明",5,0-950560-950583-950602:手机数码电脑、家电-日用电器-取暖电器,奥普,11167707,灯泡
飞利浦古铃台灯(灿金) (X)NDS603/G,"飞利浦, 古, 铃, 台灯, (, 灿, 金, ), (, X, ), NDS603/G",飞利浦,1,台灯,1,0-950560-950583-950604-950606:手机数码电脑、家电-日用电器-灯 具-普通照明及灯泡,飞利浦,10416714,台灯
超人灭蚊灯SI2,"超人, 灭蚊灯, SI2",超人,1,灭蚊灯,1,0-950560-950583-950612:手机数码电脑、家电-日用电器-其他日用电器,超人,10083371,灭蚊灯
飞利浦 陶瓷对杯（赠品）,"飞利浦, 陶瓷, 对, 杯, （, 赠品, ）",飞利浦,1,杯,1,0-950560-950583-950612:手机数码电脑、家电-日用电器-其他日用电器,飞利浦,396452,杯
Braun德国博朗 New Entry 140 灵睿电动剃须刀,"braun, 德国, 博朗, new, entry, 140, 灵, 睿, 电动剃须刀",braun,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,博朗,10947849,电动剃须刀
Braun德国博朗 New Entry 150 灵睿电动剃须刀,"braun, 德国, 博朗, new, entry, 150, 灵, 睿, 电动剃须刀",braun,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,博朗,10947838,电动剃须刀
Braun德国博朗 Prosonic 760CC 电动剃须刀,"braun, 德国, 博朗, prosonic, 760, CC, 电动剃须刀",braun,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,博朗,10947667,电动剃须刀
Braun德国博朗 cruZer3 Z50 电动剃须刀,"braun, 德国, 博朗, cruZer3, Z50, 电动剃须刀",braun,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,博朗,10947781,电动剃须刀
松下电动剃须刀ES4853W405（全身水洗，多方位浮动双刀头，白色）,"松下, 电动剃须刀, ES4853W405, （, 全身, 水洗, ，, 多方位, 浮动, 双刀头, ，, 白色, ）",松下,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,松下,383368,电动剃须刀
超人 剃须刀(SA620),"超人, 剃须刀, (, SA620, )",超人,1,剃须刀,1,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,超人,456586,剃须刀
飞利浦 电动剃须刀 RQ1280,"飞利浦, 电动剃须刀, RQ1280",飞利浦,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,飞利浦,10987992,电动剃须刀
飞利浦 锋尚系列干电式防水电须刀HQ5715（礼盒装）,"飞利浦, 锋尚, 系列, 干, 电, 式, 防水, 电须刀, HQ5715, （, 礼盒装, ）",飞利浦,1,,0,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,飞利浦,218893,电须刀
飞利浦剃须刀HQ6070,"飞利浦, 剃须刀, HQ6070",飞利浦,1,剃须刀,1,0-950560-950614-950617:手机数码电脑、家电-个人护理-剃须刀,飞利浦,23574,剃须刀
精美卡包 D7 赠品,"精美, 卡包, D7, 赠品",,0,卡包,1,0-950560-950614-950621:手机数码电脑、家电-个人护理-其他个人护理电器,松下,10015551,卡包
松下睫毛卷翘器EH2331P（ 两层接触卷翘，易握手，粉色）,"松下, 睫毛卷翘器, EH2331P, （, 两层, 接触, 卷, 翘, ，, 易, 握手, ，, 粉色, ）",松下,1,睫毛卷翘器,1,0-950560-950614-950624:手机数码电脑、家电-个人护理-美容美发器,松下,387337,睫毛卷翘器
VS 沙宣 陶瓷38毫米2合1发夹 VSCD86TCN,"VS, 沙宣, 陶瓷, 38, 毫米, 2, 合, 1, 发夹, VSCD86TCN",沙宣,1,发夹,1,0-950560-950614-950624:手机数码电脑、家电-个人护理-美容美发器,沙宣,9564038,发夹
BOE京东方32寸LCD液晶电视LC-3216DZ1,"BOE, 京东方, 32, 寸, LCD液晶电视, LC-3216DZ1",boe,1,,0,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,BOE,10649442,LCD液晶电视
京东方32英寸LED液晶电视LE-32800A,"京东方, 32, 英寸, LED液晶电视, LE-32800A",,0,,0,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,BOE,11503198,LED液晶电视
TCL32寸LCD液晶电视L32M80,"TCL32, 寸, LCD液晶电视, L32M80",,0,,0,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,TCL,10431524,LCD液晶电视
三星（SAMSUNG）UA46D6600WJ 46英寸 SMART TV 3DLED电视,"三星, （, SAMSUNG, ）, UA46D6600WJ, 46, 英寸, SMART, TV, 3DLED, 电视",三星,1,"tv, 电视",2,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,三星,11398031,电视
创维42英寸 全高清液晶电视 42M11HF,"创维, 42, 英寸, 全, 高清, 液晶, 电视, 42M11, HF",创维,1,"高清, 液晶, 电视",3,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,创维,9965428,"液晶, 电视"
夏普46寸LED液晶电视 46LX710A,"夏普, 46, 寸, LED液晶电视, 46LX710A",夏普,1,,0,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,夏普,9546456,LED液晶电视
夏普46英寸LED全高清液晶电视LCD-46LX620A,"夏普, 46, 英寸, LED, 全, 高清, 液晶, 电视, LCD-46LX620A",夏普,1,"led, 高清, 液晶, 电视",4,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,夏普,11194573,"液晶, 电视"
夏普60英寸LCD全高清液晶电视LCD-60Z770A,"夏普, 60, 英寸, LCD, 全, 高清, 液晶, 电视, LCD-60Z770A",夏普,1,"高清, 液晶, 电视",3,0-950560-950628-950629:手机数码电脑、家电-大家电-平板电视,夏普,11194391,"液晶, 电视"
